task	window_index	scale	direction	unguided_final_cost	guided_final_cost	cost_delta	unguided_final_primary	guided_final_primary	primary_delta	primary_improved	mean_gradient_norm	nonzero_gradient_steps	final_mse_to_clean_prediction	cost_trace_first	cost_trace_last	step_count	finite
inpainting	1540	2e-05	lower_is_better	0.0010944134555757046	0.0009396586683578789	0.00015475478721782565	0.0467849001288414	0.04335109516978264	-0.0034338049590587616	True	0.004599177592899651	20	0.0009878143901005387	0.001379186986014247	0.0009396586683578789	20	True
inpainting	1540	5e-05	lower_is_better	0.0010944134555757046	0.0009396576788276434	0.00015475577674806118	0.0467849001288414	0.04335107281804085	-0.0034338273108005524	True	0.004599175963085145	20	0.0009878149721771479	0.001379186986014247	0.0009396576788276434	20	True
inpainting	1540	0.0001	lower_is_better	0.0010944134555757046	0.0009396535460837185	0.00015475990949198604	0.0467849001288414	0.04335097596049309	-0.0034339241683483124	True	0.004599173762835562	20	0.0009878147393465042	0.0013791867531836033	0.0009396535460837185	20	True
inpainting	1540	0.0002	lower_is_better	0.0010944134555757046	0.0009396477835252881	0.00015476567205041647	0.0467849001288414	0.04335084557533264	-0.0034340545535087585	True	0.0045991692808456715	20	0.0009878152050077915	0.0013791865203529596	0.0009396477835252881	20	True
composed_objectives	1540	0.0	higher_is_better	1616.3323974609375	1616.3323974609375	0.0	-0.23791290819644928	-0.23791290819644928	0.0	False	0.0	0	4.4637240570466474e-09	721.4085083007812	1616.3323974609375	20	True
composed_objectives	1540	2e-05	higher_is_better	1616.3323974609375	1621.2110595703125	-4.878662109375	-0.23791290819644928	-0.23410458862781525	0.003808319568634033	True	469.25484466552734	20	0.0009885126492008567	721.3798828125	1621.2110595703125	20	True
composed_objectives	1540	5e-05	higher_is_better	1616.3323974609375	1613.9498291015625	2.382568359375	-0.23791290819644928	-0.23284611105918884	0.005066797137260437	True	469.2099075317383	20	0.0009897173149511218	721.3369140625	1613.9498291015625	20	True
composed_objectives	1540	0.0001	higher_is_better	1616.3323974609375	1601.910400390625	14.4219970703125	-0.23791290819644928	-0.2307477742433548	0.007165133953094482	True	469.1349349975586	20	0.0009921407327055931	721.2651977539062	1601.910400390625	20	True
composed_objectives	1540	0.0002	higher_is_better	1616.3323974609375	1578.0640869140625	38.268310546875	-0.23791290819644928	-0.22654874622821808	0.011364161968231201	True	468.98477325439455	20	0.0009985475335270166	721.1216430664062	1578.0640869140625	20	True
joystick	1541	0.0	lower_is_better	0.2940593361854553	0.2940593361854553	0.0	0.014002825133502483	0.014002825133502483	0.0	False	0.0	0	4.534334685502017e-09	2.1753411293029785	0.2940593361854553	20	True
joystick	1541	2e-05	lower_is_better	0.2940593361854553	0.3414144217967987	-0.047355085611343384	0.014002825133502483	0.01625782996416092	0.002255004830658436	False	1.4665536284446716	20	0.0010125963017344475	2.1753339767456055	0.3414144217967987	20	True
joystick	1541	5e-05	lower_is_better	0.2940593361854553	0.341251015663147	-0.04719167947769165	0.014002825133502483	0.016250047832727432	0.002247222699224949	False	1.4664865016937256	20	0.0010125983972102404	2.1753225326538086	0.341251015663147	20	True
joystick	1541	0.0001	lower_is_better	0.2940593361854553	0.3409799039363861	-0.046920567750930786	0.014002825133502483	0.016237137839198112	0.002234312705695629	False	1.4663747280836106	20	0.0010126025881618261	2.1753039360046387	0.3409799039363861	20	True
joystick	1541	0.0002	lower_is_better	0.2940593361854553	0.34043577313423157	-0.046376436948776245	0.014002825133502483	0.01621122658252716	0.0022084014490246773	False	1.466150912642479	20	0.001012609456665814	2.1752662658691406	0.34043577313423157	20	True
waypoint	1541	0.0	lower_is_better	0.7490564584732056	0.7490564584732056	0.0	0.08243727684020996	0.08243727684020996	0.0	False	0.0	0	4.534334685502017e-09	0.9761378765106201	0.7490564584732056	20	True
waypoint	1541	2e-05	lower_is_better	0.7490564584732056	0.6310762166976929	0.1179802417755127	0.08243727684020996	0.07477277517318726	-0.007664501667022705	True	1.1290699064731597	20	0.0010125937405973673	0.9761337637901306	0.6310762166976929	20	True
waypoint	1541	5e-05	lower_is_better	0.7490564584732056	0.6308697462081909	0.11818671226501465	0.08243727684020996	0.07474879175424576	-0.007688485085964203	True	1.1290206879377365	20	0.0010125916451215744	0.9761271476745605	0.6308697462081909	20	True
waypoint	1541	0.0001	lower_is_better	0.7490564584732056	0.6305267214775085	0.11852973699569702	0.08243727684020996	0.0747087299823761	-0.007728546857833862	True	1.1289383530616761	20	0.0010125882690772414	0.9761162996292114	0.6305267214775085	20	True
waypoint	1541	0.0002	lower_is_better	0.7490564584732056	0.6298375129699707	0.11921894550323486	0.08243727684020996	0.07462846487760544	-0.007808811962604523	True	1.12877357006073	20	0.0010125807020813227	0.9760948419570923	0.6298375129699707	20	True
obstacle_avoidance	1541	0.0	higher_is_better	1577.17578125	1577.17578125	0.0	-0.23664169013500214	-0.23664169013500214	0.0	False	0.0	0	4.534334685502017e-09	689.5909423828125	1577.17578125	20	True
obstacle_avoidance	1541	2e-05	higher_is_better	1577.17578125	1580.4720458984375	-3.2962646484375	-0.23664169013500214	-0.23276937007904053	0.003872320055961609	True	461.38180084228514	20	0.001013334607705474	689.5567626953125	1580.4720458984375	20	True
obstacle_avoidance	1541	5e-05	higher_is_better	1577.17578125	1573.4051513671875	3.7706298828125	-0.23664169013500214	-0.23151393234729767	0.005127757787704468	True	461.32616424560547	20	0.001014597131870687	689.5054931640625	1573.4051513671875	20	True
obstacle_avoidance	1541	0.0001	higher_is_better	1577.17578125	1561.687744140625	15.488037109375	-0.23664169013500214	-0.2294214367866516	0.007220253348350525	True	461.2333465576172	20	0.0010171040194109082	689.4199829101562	1561.687744140625	20	True
obstacle_avoidance	1541	0.0002	higher_is_better	1577.17578125	1538.4837646484375	38.6920166015625	-0.23664169013500214	-0.22523416578769684	0.011407524347305298	True	461.0474884033203	20	0.0010236379457637668	689.248779296875	1538.4837646484375	20	True
inpainting	1541	0.0	lower_is_better	0.00038066989509388804	0.00038066989509388804	0.0	0.027592387050390244	0.027592387050390244	0.0	False	0.0	0	4.534334685502017e-09	0.0007493887096643448	0.00038066989509388804	20	True
inpainting	1541	2e-05	lower_is_better	0.00038066989509388804	0.00028241248219273984	9.82574129011482e-05	0.027592387050390244	0.0237660463899374	-0.0038263406604528427	True	0.003062204795423895	20	0.0010125954868271947	0.000749388535041362	0.00028241248219273984	20	True
inpainting	1541	5e-05	lower_is_better	0.00038066989509388804	0.00028241335530765355	9.82565397862345e-05	0.027592387050390244	0.023766083642840385	-0.003826303407549858	True	0.003062204679008573	20	0.0010125947883352637	0.0007493884186260402	0.00028241335530765355	20	True
inpainting	1541	0.0001	lower_is_better	0.00038066989509388804	0.00028241335530765355	9.82565397862345e-05	0.027592387050390244	0.023766083642840385	-0.003826303407549858	True	0.0030622048128861935	20	0.001012595253996551	0.0007493884186260402	0.00028241335530765355	20	True
inpainting	1541	0.0002	lower_is_better	0.00038066989509388804	0.0002824109687935561	9.825892630033195e-05	0.027592387050390244	0.023765983060002327	-0.0038264039903879166	True	0.00306219962076284	20	0.0010125961853191257	0.0007493882440030575	0.0002824109687935561	20	True
composed_objectives	1541	0.0	higher_is_better	1578.2188720703125	1578.2188720703125	0.0	-0.23664169013500214	-0.23664169013500214	0.0	False	0.0	0	4.534334685502017e-09	692.742431640625	1578.2188720703125	20	True
composed_objectives	1541	2e-05	higher_is_better	1578.2188720703125	1581.44189453125	-3.2230224609375	-0.23664169013500214	-0.23276923596858978	0.0038724541664123535	True	461.38574371337893	20	0.0010133343748748302	692.708251953125	1581.44189453125	20	True
composed_objectives	1541	5e-05	higher_is_better	1578.2188720703125	1574.3702392578125	3.8486328125	-0.23664169013500214	-0.23151402175426483	0.005127668380737305	True	461.3299728393555	20	0.001014596433378756	692.6569213867188	1574.3702392578125	20	True
composed_objectives	1541	0.0001	higher_is_better	1578.2188720703125	1562.646240234375	15.5726318359375	-0.23664169013500214	-0.229421466588974	0.007220223546028137	True	461.23700256347655	20	0.0010171050671488047	692.5713500976562	1562.646240234375	20	True
composed_objectives	1541	0.0002	higher_is_better	1578.2188720703125	1539.427978515625	38.7908935546875	-0.23664169013500214	-0.22523462772369385	0.011407062411308289	True	461.0507446289063	20	0.0010236407397314906	692.3999633789062	1539.427978515625	20	True
joystick	1542	0.0	lower_is_better	0.18749289214611053	0.18749289214611053	0.0	0.008928232826292515	0.008928232826292515	0.0	False	0.0	0	4.405847686683728e-09	1.4641813039779663	0.18749289214611053	20	True
