phase_or_time,Fx_mean,Fx_min,Fx_max,Fy_mean,Fy_min,Fy_max,Fz_mean,Fz_min,Fz_max
25.0,0.039694418244505966,-0.0541556215566565,0.156827420078094,-0.1156769457170218,-0.326690201433591,0.0321611651593542,1.0501037603322079,0.480682614696614,1.59841787670167
26.0,0.03977127486674873,-0.0509720602154549,0.151876551524856,-0.1100923728648072,-0.316334762176114,0.0324075514590402,1.049389142441674,0.506479813811488,1.56935549007599
27.0,0.0399580145571548,-0.0471594159503074,0.146211608909816,-0.10439997947107343,-0.303806414012567,0.0313715855639177,1.0450844061959421,0.532255375637534,1.53077769159676
28.0,0.04022856379260884,-0.0426815553520321,0.140427255388943,-0.09867146230930615,-0.289930800031437,0.0292118141386024,1.0374156439289353,0.558096647471921,1.49162988228239
29.0,0.0405301860576321,-0.0424725912907147,0.135126710588271,-0.09296510552178544,-0.275441460246981,0.0259052998571025,1.0267200202735078,0.58381240282293,1.48769166128803
30.0,0.040797024733063104,-0.043847133311646,0.130690914847355,-0.08732727543138484,-0.261032305625039,0.0279150777164469,1.0134537346552872,0.609028566447271,1.48050156640009
31.0,0.04096229356877285,-0.0442165080846906,0.127370079305294,-0.08179433901207932,-0.246909811546827,0.031964170566951,0.9981684261257043,0.633900137474706,1.46334502354104
32.0,0.04096923310552728,-0.0433284012063247,0.125110818323939,-0.07639452989545382,-0.233019581506534,0.0371389457040156,0.981479674487315,0.659127027651079,1.43706796888258
33.0,0.0407788254373126,-0.0410451937144845,0.123397437193855,-0.07115260802308641,-0.219219337844441,0.0415877179330075,0.964000251999887,0.654948636670704,1.41985967918131
34.0,0.040374344296204616,-0.0384138145954827,0.121719188534524,-0.06609055653798436,-0.205438297596049,0.0450662474752902,0.9462913874361046,0.640725829634656,1.40157536475012
35.0,0.03976285497695407,-0.0369550443213328,0.119662002577768,-0.061228345678588515,-0.19164714312172,0.0476606326945,0.928824707644598,0.63058528454096,1.37858643607362
36.0,0.03896939593454688,-0.0342766109059686,0.11906485535452,-0.056580569004646634,-0.177829814518604,0.0494639188428781,0.9119753921278098,0.623520794073398,1.35106746311935
37.0,0.03803278304812384,-0.0303398201754594,0.118797092998724,-0.05215546549371368,-0.164002449330693,0.0506241832185037,0.896028233720218,0.611834465212688,1.31938919311469
38.0,0.03699878200011905,-0.031465216291702,0.117476458324672,-0.047954340802158754,-0.150295371449374,0.055332937101223,0.8811919226909414,0.582373924351608,1.28418970950688
39.0,0.03591431434598973,-0.0325831076451967,0.115107391072897,-0.04397142926100395,-0.138593750499703,0.0609297142036311,0.8676144534315666,0.54256049466685,1.26014394034092
40.0,0.03482318967673399,-0.0327806978846082,0.111789624772777,-0.04019336745488083,-0.128220631128163,0.066009379646828,0.8553912388756348,0.496284605469871,1.24494579729098
41.0,0.03376205169987697,-0.0324263932137255,0.115039380697445,-0.03660206677867603,-0.121345152454736,0.0705323061546402,0.8445852680270802,0.453604805159104,1.22734929397186
42.0,0.03275924944305034,-0.032348261462131,0.118160330006091,-0.033174972486898865,-0.118281585145247,0.0744487837390663,0.8352219087490483,0.414958640356793,1.20754554232761
43.0,0.03183440147464236,-0.0326799146712517,0.120498542523602,-0.02988797841458392,-0.114848891113239,0.0777591615806162,0.8273107545753157,0.380818892742522,1.18589157061894
44.0,0.030999577868391606,-0.0335793479905006,0.122192363160326,-0.02671594419484726,-0.110912544980488,0.0806885959758819,0.820843434306189,0.351600742861617,1.16277363410105
45.0,0.030261781614394332,-0.0355533418931617,0.123462757403662,-0.023633709683574908,-0.106521981202882,0.0835133466996585,0.815799975255884,0.327641378154469,1.13851016680175
46.0,0.029624757150638358,-0.0367083163677756,0.124502415587161,-0.020616400321022573,-0.101743917301912,0.0862033689225163,0.8121523031210566,0.309180640900616,1.11332478703116
47.0,0.029089317092706936,-0.0370140689059157,0.125336966600613,-0.01763886186265787,-0.0965612643815436,0.0884384025661236,0.8098637202170658,0.296392073599192,1.08736071926223
48.0,0.028655116116581066,-0.0367826118238587,0.125739130682516,-0.014676406369579046,-0.094241045710463,0.089741766166646,0.8088879336188703,0.289371655668319,1.07661572050136
49.0,0.02832122765222871,-0.0379716955072633,0.125375003347917,-0.011704146590781728,-0.0917989468704497,0.0894930553972169,0.8091674707160628,0.283179017564052,1.07834337110938
50.0,0.028085131128877092,-0.0394499734143217,0.123896204217254,-0.00869796896459424,-0.0887695766798838,0.0874551453639253,0.8106221527572682,0.268246356309869,1.07652315912472
51.0,0.02794626777303629,-0.039882254049899,0.120901289140503,-0.0056337074280743025,-0.0853180615101634,0.0840911328177744,0.8131998931647252,0.257934527027765,1.0864866670792
52.0,0.02790081892647057,-0.0401222042846737,0.116368396582305,-0.002493798467962246,-0.081676914272405,0.0888822907943206,0.8167962469903427,0.251486191746877,1.10391677429245
53.0,0.02795007658648798,-0.0398237890349281,0.110513370186998,0.0007352831465689496,-0.0777884195045825,0.0949698492380514,0.8213500168285509,0.249072171561196,1.11973790866684
54.0,0.02809730902382957,-0.0388908497162107,0.103843029530023,0.004062073032421094,-0.0733887901852873,0.100325413673783,0.8268015248459937,0.251567589614841,1.1339065200822
55.0,0.02834587372396343,-0.0372809353910896,0.10091123751707,0.007495638663423588,-0.0683680753180474,0.104758435609261,0.8331043766599417,0.256683036927009,1.14568882572521
56.0,0.02869738320550661,-0.0350320453270361,0.0994759678155891,0.011049150031868177,-0.0664727169129408,0.108231663250003,0.8402250250779829,0.264414487991354,1.1544155491653
57.0,0.029151212104371698,-0.0322877222027895,0.0977530691340679,0.014739941754771736,-0.0631340024496656,0.110768298331075,0.8481353308194501,0.269260167066315,1.15908438287454
58.0,0.02970473512641704,-0.0296758001061654,0.0955825003094554,0.018588166159823657,-0.0585619556644805,0.11244515085932,0.8568102689824749,0.276595094509633,1.15873206157034
59.0,0.03035356689183949,-0.0296473679513083,0.0928148556822459,0.022614280106445526,-0.0533411956092521,0.116064878064271,0.8662251306352435,0.288726097022201,1.15902283598773
60.0,0.031090034677293234,-0.0300434054899095,0.0917535100004956,0.026837336559812477,-0.0493533323176591,0.121120025184044,0.8763491617908941,0.307006533302805,1.16515983096515
