task,split,scale,window_count,base_cost_mean,guided_cost_mean,cost_delta_mean,positive_delta_fraction,gradient_norm_mean,finite
latent_magnitude,validation,0.005,114279,0.11903488614247765,0.11903488614247765,0.0,0.0,5.1746582623528336e-05,True
latent_magnitude,validation,0.01,114279,0.11903488614247765,0.11903486686174758,1.9445644389929056e-08,0.9550048565233253,5.1746582623528336e-05,True
latent_smoothness,test,0.0,114278,0.2361072249304122,0.2361072249304122,0.0,0.0,0.00012842866025746595,True
latent_smoothness,test,0.0005,114278,0.2361072249304122,0.23610722452984192,2.9423397524271733e-10,0.012627102329056802,0.00012842866025746595,True
latent_smoothness,test,0.001,114278,0.2361072249304122,0.23610722319460775,1.4264447480710588e-09,0.05971403069655048,0.00012842866025746595,True
latent_smoothness,test,0.002,114278,0.2361072249304122,0.23610721606440513,9.081483077354838e-09,0.3415005513563207,0.00012842866025746595,True
latent_smoothness,test,0.005,114278,0.2361072249304122,0.23610718041378315,4.498070115590449e-08,0.9817287669358492,0.00012842866025746595,True
latent_smoothness,test,0.01,114278,0.2361072249304122,0.23610714097091356,8.494788485637105e-08,1.0,0.00012842866025746595,True
latent_smoothness,validation,0.0,114279,0.2361799870778568,0.2361799870778568,0.0,0.0,0.00012810901260368391,True
latent_smoothness,validation,0.0005,114279,0.2361799870778568,0.2361799867440512,2.9736082834614917e-10,0.012977012399478469,0.00012810901260368391,True
latent_smoothness,validation,0.001,114279,0.2361799870778568,0.2361799856758732,1.4032875398529581e-09,0.05925848143467601,0.00012810901260368391,True
latent_smoothness,validation,0.002,114279,0.2361799870778568,0.23617997770443847,8.955965715635007e-09,0.3390211674961981,0.00012810901260368391,True
latent_smoothness,validation,0.005,114279,0.2361799870778568,0.23617994176009263,4.4786283022085175e-08,0.9820789471261482,0.00012810901260368391,True
latent_smoothness,validation,0.01,114279,0.2361799870778568,0.23617990214388496,8.471328198126758e-08,1.0,0.00012810901260368391,True
velocity_command,test,0.0,114278,0.0689588508139757,0.0689588508139757,0.0,0.0,0.0001586158346599156,True
velocity_command,test,0.0005,114278,0.0689588508139757,0.06895884404431236,6.5475698109390354e-09,0.6916641875616167,0.0001586158346599156,True
velocity_command,test,0.001,114278,0.0689588508139757,0.0689588379556967,1.279872155302878e-08,0.9760846358631244,0.0001586158346599156,True
velocity_command,test,0.002,114278,0.0689588508139757,0.06895882504395619,2.582934876127892e-08,1.0,0.0001586158346599156,True
velocity_command,test,0.005,114278,0.0689588508139757,0.06895878664932367,6.431861471123493e-08,1.0,0.0001586158346599156,True
velocity_command,test,0.01,114278,0.0689588508139757,0.06895872204413564,1.2860802116589543e-07,1.0,0.0001586158346599156,True
velocity_command,validation,0.0,114279,0.0689590264247268,0.0689590264247268,0.0,0.0,0.00015818807094430075,True
velocity_command,validation,0.0005,114279,0.0689590264247268,0.06895901970851857,6.557324576554451e-09,0.6950183323364125,0.00015818807094430075,True
velocity_command,validation,0.001,114279,0.0689590264247268,0.06895901358644524,1.2758415965868163e-08,0.9770649025510294,0.00015818807094430075,True
velocity_command,validation,0.002,114279,0.0689590264247268,0.06895900059469132,2.577217367461099e-08,1.0,0.00015818807094430075,True
velocity_command,validation,0.005,114279,0.0689590264247268,0.0689589620399464,6.41338394156007e-08,1.0,0.00015818807094430075,True
velocity_command,validation,0.01,114279,0.0689590264247268,0.06895889772192713,1.2825747559507022e-07,1.0,0.00015818807094430075,True
