item_name	detected_path	type	size	git_remote	git_commit	git_branch	archive_hash	usable	duplicate	selected_copy	notes
bc.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/manager_based/manipulation/lift/config/franka/agents/robomimic/bc.json	data_or_checkpoint	8305					unknown	no	yes	isaaclab
bcq.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/manager_based/manipulation/lift/config/franka/agents/robomimic/bcq.json	data_or_checkpoint	9562					unknown	no	yes	isaaclab
bc_rnn_low_dim.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/manager_based/manipulation/pick_place/agents/robomimic/bc_rnn_low_dim.json	data_or_checkpoint	3280					unknown	yes	yes	isaaclab; duplicate_name
bc_rnn_image_84.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/manager_based/manipulation/stack/config/franka/agents/robomimic/bc_rnn_image_84.json	data_or_checkpoint	6657					unknown	no	yes	isaaclab
bc_rnn_low_dim.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/source/isaaclab_tasks/isaaclab_tasks/manager_based/manipulation/stack/config/franka/agents/robomimic/bc_rnn_low_dim.json	data_or_checkpoint	2721					unknown	yes	no	isaaclab; duplicate_name
requirements.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/tools/template/requirements.txt	documentation	58					unknown	yes	no	isaaclab; duplicate_name
extensions.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/tools/template/templates/external/.vscode/extensions.json	data_or_checkpoint	302					unknown	yes	no	isaaclab; duplicate_name
tasks.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/tools/template/templates/external/.vscode/tasks.json	data_or_checkpoint	901					unknown	yes	no	isaaclab; duplicate_name
launch.template.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/tools/template/templates/external/.vscode/tools/launch.template.json	data_or_checkpoint	4097					unknown	yes	yes	isaaclab; duplicate_name
settings.template.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/tools/template/templates/external/.vscode/tools/settings.template.json	data_or_checkpoint	2462					unknown	yes	no	isaaclab; duplicate_name
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/tools/template/templates/external/README.md	documentation	5529					unknown	yes	no	isaaclab; duplicate_name
LICENSE_HEADER.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/.github/LICENSE_HEADER.txt	documentation	123					unknown	yes	no	rsl_rl; duplicate_name
CONTRIBUTING.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/CONTRIBUTING.md	documentation	942					unknown	yes	no	rsl_rl; duplicate_name
CONTRIBUTORS.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/CONTRIBUTORS.md	documentation	846					unknown	yes	no	rsl_rl; duplicate_name
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/README.md	documentation	2138					unknown	yes	no	rsl_rl; duplicate_name
requirements.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl/docs/requirements.txt	documentation	14					unknown	yes	no	rsl_rl; duplicate_name
