source,body_index,body_name,z_mean_m,z_min_m,z_p05_m,z_p50_m,z_p95_m,z_max_m
official_loop_bundle,20,imu_in_pelvis,0.7737202648970495,0.19064562022686005,0.7114421278238297,0.7851643264293671,0.7989689201116562,0.8225722908973694
official_loop_bundle,21,mid360_link,0.7737202658414541,0.19064560532569885,0.7114420711994172,0.7851643264293671,0.7989690393209458,0.8225724101066589
official_loop_bundle,22,left_shoulder_pitch_link,0.7737202979537057,0.19064556062221527,0.7114420711994172,0.7851644456386566,0.7989690959453583,0.8225724697113037
official_loop_bundle,23,left_shoulder_roll_link,0.7737202975562584,0.19064554572105408,0.7114421278238297,0.7851643860340118,0.7989690393209458,0.8225722908973694
official_loop_bundle,24,left_shoulder_yaw_link,0.7737202425440618,0.19064565002918243,0.7114420682191849,0.7851642966270447,0.7989688634872436,0.8225722908973694
official_loop_bundle,25,left_elbow_link,0.7737202440628339,0.19064557552337646,0.7114420682191849,0.7851643264293671,0.7989690423011779,0.8225723505020142
official_loop_bundle,26,left_wrist_roll_link,0.7737202955540705,0.19064556062221527,0.7114420711994172,0.7851644456386566,0.7989690393209458,0.8225724101066589
official_loop_bundle,27,left_wrist_pitch_link,0.7737202941760869,0.19064554572105408,0.7114421278238297,0.7851643860340118,0.7989690393209458,0.8225722908973694
official_loop_bundle,28,left_wrist_yaw_link,0.7737202209037383,0.19064569473266602,0.7114420682191849,0.7851642370223999,0.7989688009023667,0.8225722908973694
official_loop_bundle,29,left_rubber_hand,0.7737202240048244,0.1906455159187317,0.7114420682191849,0.7851643264293671,0.7989689826965332,0.8225724101066589
official_loop_bundle,30,right_shoulder_pitch_link,0.7737202949697357,0.19064556062221527,0.7114420711994172,0.7851644158363342,0.7989690363407135,0.8225724101066589
official_loop_bundle,31,right_shoulder_roll_link,0.7737202946146495,0.19064554572105408,0.7114421844482421,0.7851643562316895,0.7989690393209458,0.8225722908973694
official_loop_bundle,32,right_shoulder_yaw_link,0.773720221878045,0.19064569473266602,0.7114420682191849,0.7851642370223999,0.7989688009023667,0.8225722312927246
official_loop_bundle,33,right_elbow_link,0.7737202252009042,0.1906455159187317,0.7114420682191849,0.7851643264293671,0.7989689826965332,0.8225723505020142
official_loop_bundle,34,right_wrist_roll_link,0.7737202937649345,0.19064556062221527,0.7114421278238297,0.7851644456386566,0.7989690363407135,0.8225724697113037
official_loop_bundle,35,right_wrist_pitch_link,0.773720293951822,0.19064553081989288,0.7114421844482421,0.7851643860340118,0.7989690393209458,0.8225722312927246
