motion_id,motion,sample_count,done_rate,ee_body_pos_rate,left_ankle_roll_link_pre_z_mean,left_ankle_roll_link_post_z_mean,left_ankle_roll_link_pre_exceed_rate,left_ankle_roll_link_post_exceed_rate,left_ankle_roll_link_pre_z_max,left_ankle_roll_link_post_z_max,right_ankle_roll_link_pre_z_mean,right_ankle_roll_link_post_z_mean,right_ankle_roll_link_pre_exceed_rate,right_ankle_roll_link_post_exceed_rate,right_ankle_roll_link_pre_z_max,right_ankle_roll_link_post_z_max,left_wrist_yaw_link_pre_z_mean,left_wrist_yaw_link_post_z_mean,left_wrist_yaw_link_pre_exceed_rate,left_wrist_yaw_link_post_exceed_rate,left_wrist_yaw_link_pre_z_max,left_wrist_yaw_link_post_z_max,right_wrist_yaw_link_pre_z_mean,right_wrist_yaw_link_post_z_mean,right_wrist_yaw_link_pre_exceed_rate,right_wrist_yaw_link_post_exceed_rate,right_wrist_yaw_link_pre_z_max,right_wrist_yaw_link_post_z_max,wrist_pre_exceed_rate,ankle_pre_exceed_rate,wrist_minus_ankle_pre_exceed_rate
13,fallAndGetUp3_subject1,13834,0.14912534335694666,0.11117536504264855,0.06068464447361133,0.06619787123565908,0.018577417955761167,0.035925979470868875,0.43599385023117065,0.8324313759803772,0.02186701198679244,0.025022516606729148,0.0017348561515107706,0.007589995662859621,0.6132858395576477,0.5933123230934143,0.134304127851559,0.13643967408513996,0.01315599248229001,0.033395980916582337,0.5773177146911621,0.5124219655990601,0.14130724469102565,0.12694845621597825,0.03708255023854272,0.021613416220905016,0.6379001140594482,0.450560599565506,0.03708255023854272,0.018577417955761167,0.018505132282781552
14,fight1_subject2,15406,0.18492795014929247,0.17967025834090614,0.08487798419808716,0.0889709981027316,0.036414384006231336,0.04939633908866675,0.5029997825622559,0.8213663697242737,0.03706013700957095,0.0395699080218108,0.00032454887706088537,0.010904842269245749,0.26056772470474243,0.5934134721755981,0.16663512520614915,0.17042444339262638,0.013371413734908476,0.04128261716214462,0.5124219655990601,0.8885146379470825,0.04622794174922065,0.05787270092558322,0.003634947423081916,0.01862910554329482,0.4006020426750183,0.9955254793167114,0.013371413734908476,0.036414384006231336,-0.02304297027132286
15,fight1_subject3,12294,0.1647958353668456,0.15950870343256873,0.08076088891773858,0.08450434578569614,0.03530177322271027,0.04538799414348463,0.4265472888946533,0.8196510672569275,0.03274199936059562,0.036188948029242864,8.134049129656744e-05,0.010411582885960632,0.25155457854270935,0.5867809057235718,0.1526330313523339,0.16007365844749874,0.007239303725394501,0.04001952171791118,0.42522579431533813,0.9088627099990845,0.062201001987586046,0.06517262609315845,0.0036603221083455345,0.013665202537823329,0.34326499700546265,1.008228063583374,0.007239303725394501,0.03530177322271027,-0.028062469497315768
16,fight1_subject5,16344,0.5397087616250612,0.531081742535487,0.2282195749104103,0.12150107597616765,0.37298091042584436,0.13631913852178168,0.7410611510276794,0.8348920345306396,0.03759990352020397,0.03851575318453136,0.0,0.03163240332843857,0.22363612055778503,0.5984449982643127,0.15656414946401698,0.17072331968364882,0.07225893294175233,0.10927557513460597,0.4599505662918091,0.9238725900650024,0.05501397045961035,0.08132698717406288,0.00012236906510034264,0.044358786098874205,0.26029354333877563,1.0096944570541382,0.07225893294175233,0.37298091042584436,-0.300721977484092
17,fightAndSports1_subject1,16582,0.31648775780967314,0.31636714509709324,0.13768757710386323,0.06993508456110192,0.2330840670606682,0.08219756362320589,0.6675765514373779,0.8393533229827881,0.08368096350136295,0.03356143821894893,0.17084790736943675,0.01996140393197443,0.44090986251831055,0.5796480774879456,0.13482242163768107,0.149234570342674,0.017187311542636592,0.06332167410445061,0.39179527759552,0.898857593536377,0.06701974092497784,0.06787956503273035,0.005789410203835484,0.0274393921119286,0.2823113203048706,1.0073721408843994,0.017187311542636592,0.2330840670606682,-0.2158967555180316
18,fightAndSports1_subject4,15670,0.2632418634333121,0.24097000638162094,0.042717792597036494,0.07144373683538228,0.00835992342054882,0.06439055520102106,0.6181235313415527,0.8333206176757812,0.025141714968562278,0.033412818282476525,0.0008296107211231652,0.014231014677728143,0.2838894724845886,0.5966401100158691,0.15709955131049055,0.14199402287136467,0.13446075303126995,0.05462667517549458,0.36887073516845703,0.9000121355056763,0.06717664833158615,0.0815574636434436,0.0008296107211231652,0.02208040842373963,0.26481229066848755,0.977086067199707,0.13446075303126995,0.00835992342054882,0.12610082961072114
19,jumps1_subject1,16038,0.11784511784511785,0.0823045267489712,0.04838015148382481,0.059771160653537166,0.003491707195410899,0.03155006858710562,0.39209049940109253,0.8109804391860962,0.01509689646182471,0.020087583752286073,0.0,0.006734006734006734,0.13222186267375946,0.6132858395576477,0.14676430559036424,0.1454687580533167,0.007793989275470757,0.024753709938895124,0.5162918567657471,0.5566310286521912,0.08834521921960355,0.08770583472585705,0.0024317246539468764,0.013842124953236064,0.4002954959869385,0.5862972736358643,0.007793989275470757,0.003491707195410899,0.004302282080059857
20,jumps1_subject2,13137,0.3367587729314151,0.3213823551800259,0.1481646376162089,0.10574440103113003,0.24214051914440132,0.08639719875161757,0.5108362436294556,0.8363552093505859,0.022894464366837272,0.03312938965776494,0.0,0.020552637588490522,0.22843706607818604,0.5926070213317871,0.13045907544610597,0.15211590239448508,0.006318033036461902,0.0698028469209104,0.5566310286521912,0.3801020383834839,0.10800823001472466,0.08392078007674975,0.010961406713861612,0.030219989343076806,0.46102768182754517,0.47438645362854004,0.010961406713861612,0.24214051914440132,-0.2311791124305397
21,jumps1_subject5,17226,0.3945779635434808,0.37489840938116803,0.18237916489551184,0.09700937122316323,0.3161500058051782,0.0974689422965285,0.7048583030700684,0.8113939762115479,0.09376237804149483,0.03603480023713747,0.16695692557761524,0.02246603970741902,0.5173100233078003,0.5973600745201111,0.13310326584281232,0.14791114394408436,0.024788110995007547,0.08318820387785905,0.34552913904190063,0.8714793920516968,0.07709836931292581,0.0801564959090553,0.0011610356437942646,0.03216068733310112,0.33953505754470825,0.9679701328277588,0.024788110995007547,0.3161500058051782,-0.29136189481017066
22,run1_subject2,13529,0.10370315618301426,0.07258481779880258,0.06785228029053177,0.07209596853661682,0.0021435434991499743,0.02542686081750314,0.3487040102481842,0.8086069822311401,0.06068279714513507,0.05934053826318545,0.0,0.005100155222115456,0.24393054842948914,0.5926206111907959,0.11252848926585497,0.11811589587597407,0.0012565599822603297,0.023357232611427303,0.39267033338546753,0.4943661093711853,0.07697640965294879,0.07714752234467312,0.0014783058614827407,0.010200310444230911,0.30371779203414917,0.46726080775260925,0.0014783058614827407,0.0021435434991499743,-0.0006652376376672336
