frame,motion_time_step,video_time_s,root_x,root_y,root_z,joint_abs_mean,contact_count_after_forward
33,418210,1.1,0.01386559009552002,-0.009547948837280273,0.04927999898791313,0.6174059918688225,10
34,418211,1.1333333333333333,0.014005392789840698,-0.009775876998901367,0.04938020184636116,0.6166229765171763,10
35,418212,1.1666666666666667,0.014202386140823364,-0.009997844696044922,0.04946859925985336,0.615833424401052,10
36,418213,1.2,0.014513790607452393,-0.010207891464233398,0.04953340068459511,0.615003475084387,10
37,418214,1.2333333333333334,0.014891982078552246,-0.010406255722045898,0.04958539828658104,0.6141873276953039,10
38,418215,1.2666666666666666,0.015303581953048706,-0.010598897933959961,0.04963099956512451,0.6133780700379404,12
39,418216,1.3,0.015713393688201904,-0.010763883590698242,0.04965920001268387,0.6125603495486851,12
40,418217,1.3333333333333333,0.016106784343719482,-0.010925054550170898,0.04967980086803436,0.6116976546252082,12
41,418218,1.3666666666666667,0.016467392444610596,-0.011078596115112305,0.049685198813676834,0.6107449939089089,12
42,418219,1.4,0.01678118109703064,-0.011230230331420898,0.04969180002808571,0.6097967400344024,12
43,418220,1.4333333333333333,0.017071574926376343,-0.011380910873413086,0.049699001014232635,0.6088506782925206,12
44,418221,1.4666666666666666,0.01726958155632019,-0.011532068252563477,0.04971640184521675,0.6080029735598584,12
45,418222,1.5,0.017428994178771973,-0.011685609817504883,0.0497342012822628,0.6071963108100543,12
46,418223,1.5333333333333334,0.017511188983917236,-0.011844158172607422,0.04975280165672302,0.6064877291245121,12
47,418224,1.5666666666666667,0.01751619577407837,-0.012002944946289062,0.049780599772930145,0.6058391818439524,11
48,418225,1.6,0.01748257875442505,-0.012161970138549805,0.04981299862265587,0.605196625295352,12
49,418226,1.6333333333333333,0.017383575439453125,-0.012316703796386719,0.049851998686790466,0.6045034915120502,12
50,418227,1.6666666666666667,0.01727759838104248,-0.012467145919799805,0.0498926006257534,0.6037948753018382,12
51,418228,1.7,0.01715758442878723,-0.012608766555786133,0.04993639886379242,0.6030552400404523,12
52,418229,1.7333333333333334,0.017057180404663086,-0.012737512588500977,0.04997580125927925,0.6022968692062743,12
53,418230,1.7666666666666666,0.016966581344604492,-0.012859821319580078,0.05001299828290939,0.6015545134593187,12
54,418231,1.8,0.01692098379135132,-0.012955904006958008,0.05004420131444931,0.6008511509842657,12
55,418232,1.8333333333333333,0.01689198613166809,-0.013041973114013672,0.050074800848960876,0.6001326579375771,12
56,418233,1.8666666666666667,0.016896188259124756,-0.013107776641845703,0.05010420083999634,0.5993838988662022,12
57,418234,1.9,0.016914784908294678,-0.013157367706298828,0.050128400325775146,0.5986090322137522,12
58,418235,1.9333333333333333,0.016940593719482422,-0.0131988525390625,0.05014999955892563,0.5978210981019998,12
59,418236,1.9666666666666666,0.016974180936813354,-0.013221025466918945,0.050169799476861954,0.5970762983478349,12
60,418237,2.0,0.017013192176818848,-0.013236761093139648,0.050186000764369965,0.5963231510611187,13
