task	window_index	scale	direction	unguided_final_cost	guided_final_cost	cost_delta	unguided_final_primary	guided_final_primary	primary_delta	primary_improved	mean_gradient_norm	nonzero_gradient_steps	final_mse_to_clean_prediction	cost_trace_first	cost_trace_last	step_count	finite
waypoint	1542	0.0	lower_is_better	0.20048223435878754	0.20048223435878754	0.0	0.1405366063117981	0.1405366063117981	0.0	False	0.0	0	3.9557788156230345e-09	0.6777516603469849	0.20048223435878754	20	True
waypoint	1542	2e-05	lower_is_better	0.20048223435878754	0.16492819786071777	0.03555403649806976	0.1405366063117981	0.13194191455841064	-0.008594691753387451	True	0.8845104217529297	20	0.0006382120191119611	0.6777487993240356	0.16492819786071777	20	True
waypoint	1542	5e-05	lower_is_better	0.20048223435878754	0.16487014293670654	0.035612091422080994	0.1405366063117981	0.13193152844905853	-0.008605077862739563	True	0.8844733774662018	20	0.0006382144056260586	0.6777445077896118	0.16487014293670654	20	True
waypoint	1542	0.0001	lower_is_better	0.20048223435878754	0.1647729128599167	0.03570932149887085	0.1405366063117981	0.13191407918930054	-0.008622527122497559	True	0.8844104945659638	20	0.000638217490632087	0.6777371764183044	0.1647729128599167	20	True
waypoint	1542	0.0002	lower_is_better	0.20048223435878754	0.1645788550376892	0.03590337932109833	0.1405366063117981	0.13187925517559052	-0.00865735113620758	True	0.8842856824398041	20	0.000638224883005023	0.677722692489624	0.1645788550376892	20	True
obstacle_avoidance	1542	0.0	higher_is_better	1776.7548828125	1776.7548828125	0.0	-0.21382132172584534	-0.21382132172584534	0.0	False	0.0	0	3.9557788156230345e-09	727.1035766601562	1776.7548828125	20	True
obstacle_avoidance	1542	2e-05	higher_is_better	1776.7548828125	1755.6776123046875	21.0772705078125	-0.21382132172584534	-0.20865240693092346	0.005168914794921875	True	469.97873840332034	20	0.0006380684208124876	727.094970703125	1755.6776123046875	20	True
obstacle_avoidance	1542	5e-05	higher_is_better	1776.7548828125	1747.9818115234375	28.7730712890625	-0.21382132172584534	-0.20742781460285187	0.006393507122993469	True	469.94752502441406	20	0.0006380108534358442	727.08203125	1747.9818115234375	20	True
obstacle_avoidance	1542	0.0001	higher_is_better	1776.7548828125	1735.2078857421875	41.5469970703125	-0.21382132172584534	-0.20538775622844696	0.008433565497398376	True	469.89544067382815	20	0.0006383263389579952	727.06005859375	1735.2078857421875	20	True
obstacle_avoidance	1542	0.0002	higher_is_better	1776.7548828125	1709.8572998046875	66.8975830078125	-0.21382132172584534	-0.20130951702594757	0.012511804699897766	True	469.7909454345703	20	0.0006405120366252959	727.0158081054688	1709.8572998046875	20	True
inpainting	1542	0.0	lower_is_better	0.0010827573714777827	0.0010827573714777827	0.0	0.04653509333729744	0.04653509333729744	0.0	False	0.0	0	3.9557788156230345e-09	0.0009166279924102128	0.0010827573714777827	20	True
inpainting	1542	2e-05	lower_is_better	0.0010827573714777827	0.0010562787065282464	2.6478664949536324e-05	0.04653509333729744	0.04596256464719772	-0.0005725286900997162	True	0.0038060291088186206	20	0.0006382111459970474	0.0009166279924102128	0.0010562787065282464	20	True
inpainting	1542	5e-05	lower_is_better	0.0010827573714777827	0.0010562771931290627	2.6480178348720074e-05	0.04653509333729744	0.04596253111958504	-0.0005725622177124023	True	0.003806027572136372	20	0.0006382104475051165	0.0009166279924102128	0.0010562771931290627	20	True
inpainting	1542	0.0001	lower_is_better	0.0010827573714777827	0.0010562725365161896	2.648483496159315e-05	0.04653509333729744	0.04596243053674698	-0.0005726628005504608	True	0.0038060261635109783	20	0.0006382112624123693	0.00091662781778723	0.0010562725365161896	20	True
inpainting	1542	0.0002	lower_is_better	0.0010827573714777827	0.0010562664829194546	2.6490888558328152e-05	0.04653509333729744	0.04596230015158653	-0.000572793185710907	True	0.003806023218203336	20	0.0006382111459970474	0.0009166277013719082	0.0010562664829194546	20	True
composed_objectives	1542	0.0	higher_is_better	1778.44580078125	1778.44580078125	0.0	-0.21382132172584534	-0.21382132172584534	0.0	False	0.0	0	3.9557788156230345e-09	729.2800903320312	1778.44580078125	20	True
composed_objectives	1542	2e-05	higher_is_better	1778.44580078125	1757.298095703125	21.147705078125	-0.21382132172584534	-0.2086508423089981	0.005170479416847229	True	469.98284301757815	20	0.000638069468550384	729.271484375	1757.298095703125	20	True
composed_objectives	1542	5e-05	higher_is_better	1778.44580078125	1749.6036376953125	28.8421630859375	-0.21382132172584534	-0.20742659270763397	0.006394729018211365	True	469.95155334472656	20	0.0006380126578733325	729.2584838867188	1749.6036376953125	20	True
composed_objectives	1542	0.0001	higher_is_better	1778.44580078125	1736.8321533203125	41.6136474609375	-0.21382132172584534	-0.20538535714149475	0.008435964584350586	True	469.8992614746094	20	0.0006383322761394083	729.2365112304688	1736.8321533203125	20	True
composed_objectives	1542	0.0002	higher_is_better	1778.44580078125	1711.4873046875	66.95849609375	-0.21382132172584534	-0.20130760967731476	0.012513712048530579	True	469.79438934326174	20	0.0006405183230526745	729.1921997070312	1711.4873046875	20	True
