relative_path	kind	category	size_bytes	sha256	paper_level	debug_only
res/released_figures/ablation_observation_history/ablation_observation_history_global.svg	svg	released_data_figure	36595	623d6a299b084391bd7c5f07dfbe71e75716f7a64ba8801c39ecb66609d0eeec	True	False
res/released_figures/ablation_observation_history/ablation_observation_history_local.pdf	pdf	released_data_figure	14046	1aa4429e5a2331378e7988ed8e52a13159fb6ceddd7117fa6eb62c14a05e3a4c	True	False
res/released_figures/ablation_observation_history/ablation_observation_history_local.png	png	released_data_figure	118162	952cba738640fd1524b4996918b6a81629d75f985bbe3adad3cfeda70cd43044	True	False
res/released_figures/ablation_observation_history/ablation_observation_history_local.svg	svg	released_data_figure	42221	0ade70efce3fc5b85b91e3af643046f1e88a18ee7fd564367b3b68081e422b8d	True	False
res/released_figures/ablation_orientation_representation/ablation_orientation_representation_global.pdf	pdf	released_data_figure	12379	254f7435e6f80d9430d2b25c496d9c38f8cd305343ed9317e0c3e6a2bfd44d00	True	False
res/released_figures/ablation_orientation_representation/ablation_orientation_representation_global.png	png	released_data_figure	71388	5b605ee4e67b46146384dc45ad0b35d87f202713a7bcbfb208d72861ff480f1a	True	False
res/released_figures/ablation_orientation_representation/ablation_orientation_representation_global.svg	svg	released_data_figure	30922	b556d90e318098d26be8a66332ef2e9aa382090c2431c0061fb6cc42f689787a	True	False
res/released_figures/ablation_orientation_representation/ablation_orientation_representation_local.pdf	pdf	released_data_figure	13312	9c550dcb5edcf2a2f47b66289f4755decdbd81e4905eee752043272062feff5b	True	False
res/released_figures/ablation_orientation_representation/ablation_orientation_representation_local.png	png	released_data_figure	99817	b8d29416721ff4d6218b41a199d9d71095fc49752a82faa22490f9190aedbedd	True	False
res/released_figures/ablation_orientation_representation/ablation_orientation_representation_local.svg	svg	released_data_figure	40458	a60f710d44add3dc58c80179f3795d4a5b6cc77a984ae59d94e8ea7e4ebbd325	True	False
res/released_figures/ablation_pd_gain/ablation_pd_gain_global.pdf	pdf	released_data_figure	13149	20260877b7a9e608997cb408373a56572e98edd7478b21d7ac0411c67ba38f5c	True	False
res/released_figures/ablation_pd_gain/ablation_pd_gain_global.png	png	released_data_figure	79505	977820424df2741d17ca47e4ae59123e4474a869e7b63ae76b36f4137e4b26d6	True	False
res/released_figures/ablation_pd_gain/ablation_pd_gain_global.svg	svg	released_data_figure	31930	ca88136ca5ece32139621093497be105d68b8fab7c94a3c72acacb7eb64901eb	True	False
res/released_figures/ablation_pd_gain/ablation_pd_gain_local.pdf	pdf	released_data_figure	14322	015d6e374d3f0c3e410574ee98bc4390da8d55f1bfca1903ef72735b4332a254	True	False
res/released_figures/ablation_pd_gain/ablation_pd_gain_local.png	png	released_data_figure	128854	0776542f8fe426383a58b459917705e4db1880be860f8206e970ec9fc28e7d71	True	False
res/released_figures/ablation_pd_gain/ablation_pd_gain_local.svg	svg	released_data_figure	42530	ce301e6d4d201ae6bfaf74fc03e427b4d28c50dd745a4dcf5cd08a7ba5ef019c	True	False
res/released_figures/adaptive_sampling/adaptive_sampling_probability_evolution_heatmap.pdf	pdf	released_data_figure	41238	0bf305f524bee646cfa011da3923dac4d2e60a709d13a60f2df156c9a4b0467e	True	False
