log_path,size_bytes,modified_time
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_latency_audit.log,99,2026-06-17T19:14:18
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_multiseed_audit.log,197,2026-06-18T14:45:17.487435
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_onnx_export_inference.log,221,2026-06-18T14:45:17.388969
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_training_run.log,260,2026-06-18T14:45:17.429289
logs/level_c_resource_adjusted_tiny_diffusion_suite/resource_adjusted_tiny_diffusion_video_preview.log,194,2026-06-18T14:45:17.546525
logs/level_c_stage1_multisource_state_latent_diffusion_training/level_c_resource_adjusted_state_latent_diffusion_training.log,5277,2026-06-23T14:04:59.485249
logs/level_c_stage1_multisource_state_latent_guidance_eval/level_c_resource_adjusted_state_latent_guidance_eval.log,21384,2026-06-23T14:05:35.845510
logs/level_c_stage1_multisource_teacher_rollout_state_latent_dataset/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.log,7999,2026-06-23T14:01:01.928090
logs/level_c_stage1_multisource_teacher_rollout_vae_training/level_c_resource_adjusted_teacher_rollout_vae_training.log,5358,2026-06-23T14:00:18.871243
logs/mujoco/MUJOCO_LOG_stage1_multisource_continuous_20260623_141338.txt,477,2026-06-23T14:13:13.446588
logs/mujoco/MUJOCO_LOG_stage1_multisource_continuous_rerun_20260623_143500.txt,477,2026-06-23T14:35:49.882053
logs/official_importer_export_fig5_fig6_task_protocol_proxy.log,1718,2026-06-21T02:25:16.481282
logs/official_importer_export_full_bundle_scaled_ppo_eval_report_assets_20260621.log,1553,2026-06-21T03:36:31.226626
logs/official_importer_export_full_bundle_scaled_ppo_teacher_rollout_report_assets_20260621.log,1343,2026-06-21T04:00:29.083260
logs/official_importer_export_scaled_ppo_fig5_fig6_success_fall_collision_proxy.log,1543,2026-06-21T08:10:32.354563
logs/official_importer_export_scaled_ppo_fig5_fig6_task_protocol_proxy.log,1736,2026-06-21T07:58:07.962269
logs/reimpl_test_suite/core_math_unit_tests.log,42,2026-06-17T14:22:27
logs/reimpl_test_suite/core_test_coverage_audit.log,139,2026-06-18T14:45:17.413291
logs/reimpl_test_suite/reimpl_package_api_tests.log,41,2026-06-17T14:22:28
logs/reimpl_test_suite/reimpl_package_audit.log,130,2026-06-18T14:45:17.510590
logs/reimpl_test_suite/reimpl_runtime_integration_audit.log,157,2026-06-18T14:45:17.448364
logs/setup/20260619_051324_official_replay_entry_verification.log,12121,2026-06-19T05:14:49.767527
logs/setup/20260619_051324_official_replay_entry_verification_rerun.log,1964,2026-06-19T05:15:32.752144
logs/setup/analysis_smoke.log,661,2026-06-18T14:45:18.346371
logs/setup/create_bm_analysis.log,595,2026-06-18T14:49:37.986574
logs/setup/create_bm_analysis_conda.log,13893,2026-06-18T15:08:23.018718
logs/setup/create_bm_analysis_minimal.log,11736,2026-06-18T14:45:18.566533
logs/setup/create_bm_diffusion.log,598,2026-06-18T14:49:38.110575
logs/setup/create_bm_diffusion_conda.log,17009,2026-06-18T15:09:03.200757
logs/setup/create_bm_tracking.log,595,2026-06-18T14:49:38.234577
logs/setup/create_bm_tracking_base.log,7263,2026-06-18T14:45:18.552102
logs/setup/create_bm_tracking_conda.log,9500,2026-06-18T15:09:43.143868
logs/setup/download_isaacsim_4_5_0.log,24855,2026-06-18T14:45:18.583095
logs/setup/dry_run_isaaclab_pip_install.log,4207,2026-06-18T15:32:18.031311
logs/setup/export_bm_analysis.log,317,2026-06-18T14:45:17.814840
logs/setup/export_bm_diffusion_locks.log,127,2026-06-17T04:44:19
logs/setup/extract_isaacsim_4_5_0.log,1312,2026-06-18T14:45:18.377468
logs/setup/inotify_status.txt,174,2026-06-16T20:06:23
logs/setup/install_bm_diffusion_torch.log,4911,2026-06-17T04:30:36
logs/setup/install_bm_tracking_isaaclab_editable.log,6252,2026-06-18T15:54:35.852346
logs/setup/install_bm_tracking_isaaclab_missing_deps.log,22585,2026-06-18T15:58:17.121685
logs/setup/install_bm_tracking_isaacsim.log,5000,2026-06-18T14:45:18.529587
logs/setup/install_bm_tracking_isaacsim45.log,20135,2026-06-18T15:52:53.703614
logs/setup/install_bm_tracking_torch.log,8533,2026-06-16T18:20:00
logs/setup/install_bm_tracking_torch_numpy.log,14637,2026-06-18T15:38:10.172365
logs/setup/install_bm_tracking_whole_body_tracking.log,7328,2026-06-18T16:08:05.826133
logs/setup/install_isaaclab.log,61131,2026-06-18T14:45:17.870528
logs/setup/install_isaaclab_core_nodeps.log,9680,2026-06-18T14:45:17.933766
logs/setup/install_micromamba.log,990,2026-06-18T14:45:17.910528
logs/setup/install_rsl_rl_231_bm_tracking_20260618_180033.log,624,2026-06-18T18:00:46.942338
logs/setup/install_rsl_rl_bm_tracking_20260618_175834.log,794,2026-06-18T17:58:55.781562
logs/setup/install_rsl_rl_bm_tracking_nodeps_20260618_175930.log,1633,2026-06-18T17:59:47.634306
logs/setup/install_system_libglu1_mesa_20260618_181059.log,2135,2026-06-18T18:11:11.248116
logs/setup/install_warp_retry_isaaclab_import.log,4079,2026-06-18T14:45:17.716883
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260618_210125.log,9651,2026-06-19T05:01:47.882973
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260618_210220.log,6740,2026-06-19T05:02:47.198770
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260619_043308.log,6740,2026-06-19T12:33:33.844577
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260619_113548.log,6740,2026-06-19T19:36:16.559541
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260619_202804.log,6740,2026-06-20T04:28:33.645259
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260620_045042.log,6740,2026-06-20T12:51:08.892825
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260620_115856.log,6740,2026-06-20T19:59:23.873015
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260620_150949.log,6740,2026-06-20T23:10:24.301876
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260620_231114.log,6740,2026-06-21T07:11:41.609828
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260620_233129.log,6740,2026-06-21T07:31:55.029679
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260621_033755.log,6871,2026-06-21T11:38:24.425535
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260621_043924.log,6740,2026-06-21T12:39:51.533839
logs/setup/isaaclab_current_headless_gate/isaaclab_current_headless_gate_20260621_074458.log,6740,2026-06-21T15:45:32.803640
logs/setup/isaaclab_headless_app_gate.log,2651,2026-06-18T15:59:50.519025
logs/setup/isaaclab_headless_smoke.log,3724,2026-06-18T14:45:18.283114
logs/setup/isaaclab_headless_smoke_retry.log,3727,2026-06-18T14:45:18.404583
logs/setup/isaaclab_import_via_script.log,491,2026-06-18T14:45:18.533091
logs/setup/isaaclab_live_gate_probe/app_launcher_cuda_visible_devices_6_device_cuda0.log,0,2026-06-18T17:49:03.476834
logs/setup/isaaclab_live_gate_probe/app_launcher_no_cuda_visible_devices_device_cuda6.log,2757,2026-06-18T17:43:41.631978
logs/setup/isaaclab_live_gate_probe/app_launcher_project_egl_icd_cpu_device_single_gpu_renderer.log,6678,2026-06-18T17:46:03.245271
logs/setup/isaaclab_live_gate_probe/app_launcher_project_egl_icd_cuda_visible_devices_6_single_gpu_renderer.log,9607,2026-06-18T17:45:47.630838
logs/setup/isaaclab_live_gate_probe/app_launcher_project_egl_icd_disable_p2p_candidate_a.log,7404,2026-06-18T17:44:19.274480
logs/setup/isaaclab_live_gate_probe/app_launcher_project_egl_icd_disable_p2p_candidate_b.log,7404,2026-06-18T17:44:39.142932
logs/setup/isaaclab_live_gate_probe/app_launcher_project_egl_icd_no_cuda_visible_devices_device_cuda6.log,7404,2026-06-18T17:44:00.328869
logs/setup/isaaclab_live_gate_probe/app_launcher_project_egl_icd_simapp_multi_gpu_false.log,6684,2026-06-18T17:45:09.909326
logs/setup/isaaclab_live_gate_probe/app_launcher_project_egl_icd_simapp_multi_gpu_false_fast_shutdown_false.log,6690,2026-06-18T17:45:34.709976
logs/setup/isaaclab_live_gate_probe/app_launcher_project_egl_icd_single_gpu_renderer.log,6697,2026-06-18T17:44:54.605427
logs/setup/isaaclab_live_gate_probe/package_import_eula_accepted.log,495,2026-06-19T12:31:56.569219
logs/setup/isaaclab_live_gate_probe_fast_shutdown_20260618_173922.log,228,2026-06-18T17:42:21.290465
logs/setup/isaaclab_live_gate_probe_refined_status_20260618_174316.log,222,2026-06-18T17:49:03.477062
logs/setup/isaacsim_python_smoke.log,258,2026-06-18T14:45:18.315770
logs/setup/prepare_isaaclab_workcopy.log,176,2026-06-18T14:45:17.948956
logs/setup/prepare_whole_body_tracking_workcopy.log,133,2026-06-16T20:10:41
logs/setup/recover_bm_tracking_base_deps.log,5758,2026-06-18T15:39:33.985567
logs/setup/recover_bm_tracking_flatdict_no_isolation.log,12885,2026-06-18T15:42:19.819084
logs/setup/recover_bm_tracking_onnx_pin.log,2117,2026-06-18T16:09:23.187243
logs/setup/render_stack_apt_install_20260622_130619.log,9023,2026-06-22T13:06:39.951470
logs/setup/repair_install_isaaclab_core.log,22778,2026-06-18T14:45:18.488249
logs/setup/system_audit.txt,12265,2026-06-16T17:13:02
logs/setup/tracking_config_audit.log,93,2026-06-18T14:45:17.739834
logs/setup/unitree_g1_policy_motion_contract_check.log,1031,2026-06-18T14:45:18.419850
logs/setup/verification_20260618_175230_isaaclab_replay_preflight.log,1488,2026-06-18T17:52:51.252331
logs/setup/verification_20260618_181815_official_replay_conversion.log,1488,2026-06-18T18:18:36.801951
logs/setup/verification_20260618_182939_urdf_conversion_probe.log,1488,2026-06-18T18:29:59.932314
logs/setup/verification_20260618_201452_g1_urdf_layer_save_workaround_final.log,1615,2026-06-18T20:16:19.771867
logs/setup/verification_20260618_201600_layer_save_workaround.log,1488,2026-06-18T20:14:17.194108
logs/setup/verification_20260618_203300_g1_in_memory_import.log,1488,2026-06-18T20:39:34.654287
logs/setup/verification_20260618_204005_g1_in_memory_import_final.log,1615,2026-06-18T20:42:12.198145
logs/setup/verification_20260618_cuda_p2p_iommu_gate_refinement.log,1488,2026-06-18T17:23:06.746235
logs/setup/verification_20260618_gpu_foundation_settings_surface.log,1488,2026-06-18T17:33:42.423845
logs/setup/verification_20260618_isaaclab_live_gate_probe.log,1488,2026-06-18T16:50:46.462879
logs/setup/verification_20260618_vulkan_egl_icd_cuda_p2p_gate.log,1488,2026-06-18T17:10:16.099664
logs/setup/vulkan_loader_debug_20260618.log,3449,2026-06-18T17:00:22.707148
logs/setup/vulkan_loader_egl_icd_test_20260618.log,557,2026-06-18T17:01:25.124044
logs/setup/whole_body_tracking_nokit_smoke.log,1199,2026-06-16T21:38:31
logs/setup/whole_body_tracking_nokit_smoke_rerun.log,1199,2026-06-17T12:02:07
logs/tracking_fk_repaired_body_order_runtime_probe/fk_repaired_body_order_runtime_probe.log,12766,2026-06-21T19:07:16.776031
logs/tracking_g1_current_task_env_construction_gate/app_only_fk_repaired.log,8544,2026-06-21T11:43:59.751332
logs/tracking_g1_current_task_env_construction_gate/app_only_official.log,8580,2026-06-21T11:38:22.385512
