task	split	window_index	scale	direction	unguided_final_cost	guided_final_cost	cost_delta	unguided_final_primary	guided_final_primary	primary_delta	primary_improved	mean_gradient_norm	nonzero_gradient_steps	final_mse_to_clean_prediction	step_count	finite
inpainting	validation	1540	0.0001	lower_is_better	0.0011483245762065053	0.0009458215208724141	0.0002025030553340912	0.04792336747050285	0.04349302127957344	-0.004430346190929413	True	0.0035302459727972746	20	0.0009846562752500176	20	True
inpainting	test	1870	0.0001	lower_is_better	0.000779922935180366	0.0005590016371570528	0.00022092129802331328	0.03949488326907158	0.03343655541539192	-0.006058327853679657	True	0.0024096255656331778	20	0.0009694098262116313	20	True
inpainting	validation	1540	0.0002	lower_is_better	0.0011483245762065053	0.0009458158165216446	0.0002025087596848607	0.04792336747050285	0.043492890894412994	-0.004430476576089859	True	0.0035302420146763325	20	0.0009846559260040522	20	True
inpainting	test	1870	0.0002	lower_is_better	0.000779922935180366	0.0005589991924352944	0.00022092374274507165	0.03949488326907158	0.03343648463487625	-0.006058398634195328	True	0.002409623470157385	20	0.0009694102336652577	20	True
composed_objectives	validation	1540	0.0	higher_is_better	1589.9427490234375	1589.9427490234375	0.0	-0.23567304015159607	-0.23567304015159607	0.0	False	0.0	0	4.593599722824138e-09	20	True
composed_objectives	test	1870	0.0	higher_is_better	1685.0323486328125	1685.0323486328125	0.0	-0.23687154054641724	-0.23687154054641724	0.0	False	0.0	0	4.091998295763233e-09	20	True
composed_objectives	validation	1540	2e-05	higher_is_better	1589.9427490234375	1595.2813720703125	-5.338623046875	-0.23567304015159607	-0.23236779868602753	0.0033052414655685425	True	462.984375	20	0.0009853556985035539	20	True
composed_objectives	test	1870	2e-05	higher_is_better	1685.0323486328125	1681.1217041015625	3.91064453125	-0.23687154054641724	-0.2328592985868454	0.004012241959571838	True	468.3091735839844	20	0.0009701054659672081	20	True
composed_objectives	validation	1540	5e-05	higher_is_better	1589.9427490234375	1588.1419677734375	1.80078125	-0.23567304015159607	-0.23110897839069366	0.004564061760902405	True	462.93634033203125	20	0.0009865572210401297	20	True
composed_objectives	test	1870	5e-05	higher_is_better	1685.0323486328125	1673.4554443359375	11.576904296875	-0.23687154054641724	-0.23160675168037415	0.005264788866043091	True	468.25787353515625	20	0.0009713093750178814	20	True
composed_objectives	validation	1540	0.0001	higher_is_better	1589.9427490234375	1576.3070068359375	13.6357421875	-0.23567304015159607	-0.22901053726673126	0.006662502884864807	True	462.85614013671875	20	0.000988965155556798	20	True
composed_objectives	test	1870	0.0001	higher_is_better	1685.0323486328125	1660.74365234375	24.2886962890625	-0.23687154054641724	-0.2295188158750534	0.007352724671363831	True	468.1720275878906	20	0.0009737390791997313	20	True
composed_objectives	validation	1540	0.0002	higher_is_better	1589.9427490234375	1552.87158203125	37.0711669921875	-0.23567304015159607	-0.22481220960617065	0.010860830545425415	True	462.6956481933594	20	0.0009953026892617345	20	True
composed_objectives	test	1870	0.0002	higher_is_better	1685.0323486328125	1635.5623779296875	49.469970703125	-0.23687154054641724	-0.2253408282995224	0.011530712246894836	True	467.99969482421875	20	0.0009801896521821618	20	True
