path	relative_path	exists	file_size	sha256	artifact_kind	motion_name	experiment_type	source	frames_rendered	backend	ffprobe_width	ffprobe_height	ffprobe_frames	ffprobe_duration	ffprobe_avg_frame_rate	claim_level	do_not_commit_large_video	notes
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_agile_C1970_tkd_skill_clip1/official_agile_C1970_tkd_skill_clip1_summary.json	official_mp4/res/official_agile_C1970_tkd_skill_clip1/official_agile_C1970_tkd_skill_clip1_summary.json	True	1929	2628b692e5683a2a7f8408d4f579c999648c6c263eee9720855f8bf1c1fd6602	summary_json	official_agile_C1970_tkd_skill_clip1	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1970_tkd_skill_clip1.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_agile_C1975_side_flip/official_agile_C1975_side_flip_keyframe.png	official_mp4/videos/official_agile_C1975_side_flip/official_agile_C1975_side_flip_keyframe.png	True	150067	96bb1efeadf884f51e08d054b24787c93181205462570c4a60a7f930dd269c4f	keyframe_png	official_agile_C1975_side_flip	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1975_side_flip.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_agile_C1975_side_flip/official_agile_C1975_side_flip_metrics.csv	official_mp4/res/official_agile_C1975_side_flip/official_agile_C1975_side_flip_metrics.csv	True	55803	035142cd69700fb0ca9089f7b471110d7800a4124a60cd9ac19ddcd299bc3970	metrics_csv	official_agile_C1975_side_flip	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1975_side_flip.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_agile_C1975_side_flip/official_agile_C1975_side_flip_mujoco_mcap_joint_replay.mp4	official_mp4/videos/official_agile_C1975_side_flip/official_agile_C1975_side_flip_mujoco_mcap_joint_replay.mp4	True	1494759	a62e6928c1ce644c050a0b0801fffa029efae462cb4d1dfb2ec077c44db03a76	mp4	official_agile_C1975_side_flip	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1975_side_flip.mcap	450	osmesa	1280	720	450	15.000000	30/1	official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	True	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_agile_C1975_side_flip/official_agile_C1975_side_flip_summary.json	official_mp4/res/official_agile_C1975_side_flip/official_agile_C1975_side_flip_summary.json	True	1870	cd64b5d9f52d3ecdf83356f43c00b39979574d47fe50470127743602a41495a3	summary_json	official_agile_C1975_side_flip	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1975_side_flip.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_agile_C1980_double_high_kick/official_agile_C1980_double_high_kick_keyframe.png	official_mp4/videos/official_agile_C1980_double_high_kick/official_agile_C1980_double_high_kick_keyframe.png	True	158527	455062a73d148ff7fabba99deadf3678eed3be09813b16c16995654df935ada6	keyframe_png	official_agile_C1980_double_high_kick	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1980_double_high_kick.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_agile_C1980_double_high_kick/official_agile_C1980_double_high_kick_metrics.csv	official_mp4/res/official_agile_C1980_double_high_kick/official_agile_C1980_double_high_kick_metrics.csv	True	55852	e00d768cc9ef6d12b5e15312db69a168aa3b99f0e85d7ccc1f0f4251223ea7c6	metrics_csv	official_agile_C1980_double_high_kick	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1980_double_high_kick.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_agile_C1980_double_high_kick/official_agile_C1980_double_high_kick_mujoco_mcap_joint_replay.mp4	official_mp4/videos/official_agile_C1980_double_high_kick/official_agile_C1980_double_high_kick_mujoco_mcap_joint_replay.mp4	True	1392033	0c3258ace9c2605488f20539866a15b22a954bed69c63c495c3a99d5d609b4fc	mp4	official_agile_C1980_double_high_kick	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1980_double_high_kick.mcap	450	osmesa	1280	720	450	15.000000	30/1	official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	True	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/res/official_agile_C1980_double_high_kick/official_agile_C1980_double_high_kick_summary.json	official_mp4/res/official_agile_C1980_double_high_kick/official_agile_C1980_double_high_kick_summary.json	True	1940	db58c19d22c66395756b7554af23da43a0f73904aa872e5410cc07c9411a1c72	summary_json	official_agile_C1980_double_high_kick	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1980_double_high_kick.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
/mnt/infini-data/test/BeyondMimic/official_mp4/videos/official_agile_C1985_merge2/official_agile_C1985_merge2_keyframe.png	official_mp4/videos/official_agile_C1985_merge2/official_agile_C1985_merge2_keyframe.png	True	144658	84a85de44973281e323005a3f5419735845b2638beb8801c8ecc91ea761f2812	keyframe_png	official_agile_C1985_merge2	official_released_rosbag_mcap_mujoco_joint_odom_replay	/mnt/infini-data/test/BeyondMimic/Dataset_beyondmimic/rosbag_agile_motion/C1985_merge2.mcap	450	osmesa						official released real-robot rosbag joint/odom data rendered in MuJoCo; kinematic replay, not policy closed-loop	False	official released-data MuJoCo visualization; not closed-loop policy reproduction
