sample_id	source_motion	sequence_length	state_dim	latent_dim	action_dim	current_index	current_action_mse	full_window_action_mse	current_action_max_abs_error	current_action_norm	next_latent_action_delta	mean_action_delta	latent_norm_mean	decoded_action_finite
jumps1_subject1_frames_1_180_state_fixture_window_0013	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0002193145020433167	0.0003181298629698692	0.03704255074262619	1.5211490641235441	0.12657211675705893	0.1119845306486786	1.1801898699689537	True
jumps1_subject1_frames_1_180_state_fixture_window_0014	jumps1_subject1_frames_1_180	21	99	32	29	4	0.00023207382311378485	0.00042182357367984434	0.03535264730453491	1.4034808023269474	0.09918799434854969	0.11655957089608564	1.1102461067586928	True
jumps1_subject1_frames_1_180_state_fixture_window_0015	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0004144599031189859	0.0003544918100204005	0.05726960301399231	1.4279344000756444	0.19124750104048308	0.10233260301503411	1.095872848935064	True
jumps1_subject1_frames_1_180_state_fixture_window_0016	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0003483893256827214	0.0002916670601274792	0.04544733464717865	1.6535769318450766	0.06886075844856221	0.12069223309448626	1.0452327340460768	True
jumps1_subject1_frames_1_180_state_fixture_window_0017	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0002969753436243284	0.0003883496201831467	0.03974875807762146	1.4852370993572013	0.26217868137255346	0.16568085045440803	1.1778389904914959	True
jumps1_subject1_frames_1_180_state_fixture_window_0018	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0002182130687287283	0.00024745837565698554	0.034126222133636475	1.624368620541379	0.20459126830001237	0.14019142441449092	1.4512068140953118	True
jumps1_subject1_frames_1_180_state_fixture_window_0019	jumps1_subject1_frames_1_180	21	99	32	29	4	0.00016027609257527207	0.0003405389751141503	0.02635275572538376	1.9287118527264286	0.13683207083704058	0.13256752192057952	1.6640575138735927	True
jumps1_subject1_frames_1_180_state_fixture_window_0020	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0004126322078137984	0.0003985068388996702	0.04800652712583542	1.961901825097446	0.1980503402399265	0.1276929236331494	1.5342837292426685	True
jumps1_subject1_frames_1_180_state_fixture_window_0021	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0003339200357728027	0.0005237876067264148	0.04085397720336914	1.832464489348667	0.1449392352982535	0.09043190682152988	1.2419589160459672	True
jumps1_subject1_frames_1_180_state_fixture_window_0022	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0002788646105264766	0.00031304046828245735	0.052440792322158813	1.774186447267369	0.0527307119052157	0.08594319484114098	1.0788857025788683	True
jumps1_subject1_frames_1_180_state_fixture_window_0023	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0005362956078386171	0.0003259346161824042	0.05366884171962738	1.5900169092417904	0.11013462165257969	0.08319081306415806	1.0772137145920029	True
jumps1_subject1_frames_1_180_state_fixture_window_0024	jumps1_subject1_frames_1_180	21	99	32	29	4	0.000227395910599999	0.00022570263672172638	0.02956297993659973	1.4498693777952487	0.10878274432014626	0.06623813702270645	1.0886207925560196	True
jumps1_subject1_frames_1_180_state_fixture_window_0025	jumps1_subject1_frames_1_180	21	99	32	29	4	0.0001859301624453025	0.0001591161609351821	0.03331446647644043	1.3656010439070219	0.08240741125201365	0.05058936661199748	1.0961665581775337	True
jumps1_subject1_frames_1_180_state_fixture_window_0026	jumps1_subject1_frames_1_180	21	99	32	29	4	0.00013748270653825588	0.00011864856244241525	0.03884924203157425	1.2872239776724488	0.03199174299870009	0.045290113647057186	1.1181500965742457	True
jumps1_subject1_frames_1_180_state_fixture_window_0027	jumps1_subject1_frames_1_180	21	99	32	29	4	0.00011275985763647466	0.00020442460920366856	0.019566476345062256	1.3085467199895335	0.046364397419784036	0.07129042915542895	1.0814699960931762	True
run2_subject1_frames_1_180_state_fixture_window_0000	run2_subject1_frames_1_180	21	99	32	29	4	0.00025048545057139806	0.00023828669876788547	0.02721288800239563	1.4982878118930423	0.043524998071738985	0.028666986897583947	0.9903025858963155	True
run2_subject1_frames_1_180_state_fixture_window_0001	run2_subject1_frames_1_180	21	99	32	29	4	0.0001275291562717761	9.019244689453404e-05	0.02685198187828064	1.4409963622208628	0.008516340927192834	0.009674200123840768	0.9463607640054518	True
run2_subject1_frames_1_180_state_fixture_window_0002	run2_subject1_frames_1_180	21	99	32	29	4	6.187475174525449e-05	5.253493198259005e-05	0.020371615886688232	1.4223984657946607	0.014932019061639514	0.008801537648053042	0.9365962913878396	True
run2_subject1_frames_1_180_state_fixture_window_0003	run2_subject1_frames_1_180	21	99	32	29	4	3.942724148675557e-05	4.3011780932662705e-05	0.014785975217819214	1.4180046655715681	0.0058505674743278705	0.009080874089386737	0.9348715315089293	True
run2_subject1_frames_1_180_state_fixture_window_0004	run2_subject1_frames_1_180	21	99	32	29	4	4.681003810268729e-05	4.309088174278164e-05	0.014052122831344604	1.4226154512392748	0.014869724817788078	0.008859673312528578	0.9378369134034615	True
